Time,Load,Outdoor,Humidity,Pressure,Solar
2016-01-06 13:00:00,49.12,91.55,50.82,29.85,207.82
2016-01-06 14:00:00,50.31,90.8,50.7,29.82,107.3
2016-01-06 15:00:00,40.69,90.3,51.8,29.82,86.8
2016-01-06 16:00:00,40,89.6,57,29.82,106.9
2016-01-06 17:00:00,35,89.55,57,29.83,51.73
2016-01-06 18:00:00,20.62,87.9,59.7,29.85,0
2016-01-06 19:00:00,10.25,86.7,63,29.87,0
2016-01-06 20:00:00,9.12,85.2,68.6,29.89,0
2016-01-06 21:00:00,7.94,83.6,73.7,29.89,0
2016-01-06 22:00:00,6.81,83,74,29.9,0
2016-01-06 23:00:00,5.25,83,72.3,29.89,0
2016-01-07 00:00:00,5.5,82.1,78.5,29.89,0
2016-01-07 01:00:00,5.69,81.55,84.27,29.88,0
2016-01-07 02:00:00,5.12,80.9,86.6,29.88,0
2016-01-07 03:00:00,7.06,80,87.18,29.88,0
2016-01-07 04:00:00,5.38,80,87,29.88,0
2016-01-07 05:00:00,5.19,79.8,88.1,29.9,0
2016-01-07 06:00:00,6.25,79.4,87.3,29.92,1.2
2016-01-07 07:00:00,24.44,78.64,86.45,29.93,58.09
2016-01-07 08:00:00,23.75,81.1,80.8,29.95,224.4
2016-01-07 09:00:00,36.75,84.55,75.36,29.96,387.09
2016-01-07 10:00:00,49.31,88.12,66.5,29.95,466.88
2016-01-07 11:00:00,39.81,88.89,57.78,29.94,530
2016-01-07 12:00:00,39.25,90.64,54.09,29.91,312.36
2016-01-07 13:00:00,45.75,90,53.5,29.87,179
2016-01-07 14:00:00,51.31,89.82,54,29.84,117.64
2016-01-07 15:00:00,43.44,89.7,54.8,29.82,196.8
2016-01-07 16:00:00,34.25,90.36,53.91,29.83,133.18
2016-01-07 17:00:00,29.25,88.3,57.6,29.84,39
2016-01-07 18:00:00,23.31,87.18,57.27,29.86,0
2016-01-07 19:00:00,13.69,85.73,67.36,29.89,0
2016-01-07 20:00:00,10.88,84.6,74.1,29.92,0
2016-01-07 21:00:00,8,84,78.3,29.92,0
2016-01-07 22:00:00,7.75,83.27,78.64,29.91,0
2016-01-07 23:00:00,6.25,83,80,29.91,0
2016-01-08 00:00:00,6.25,82.8,84.1,29.9,0
2016-01-08 01:00:00,6,82.2,85.3,29.89,0
2016-01-08 02:00:00,5.69,82,85.44,29.87,0
2016-01-08 03:00:00,7.06,82,86.18,29.87,0
2016-01-08 04:00:00,5.62,81.9,87.1,29.87,0
2016-01-08 05:00:00,5.44,81,88.36,29.87,0
2016-01-08 06:00:00,4.96,80,88.6,29.9,0
2016-01-08 07:00:00,20.12,79.78,85,29.91,3.33
2016-01-08 08:00:00,29,79.73,85.18,29.95,88.18
2016-01-08 09:00:00,32.75,82.7,78.4,29.96,266.8
2016-01-08 10:00:00,33.5,80.36,81.91,29.95,199.73
2016-01-08 11:00:00,32.5,80.8,77.9,29.94,105.7
