,Floor1Sum,Floor2Sum,Floor3Sum,Floor4Sum,Floor5Sum,Floor6Sum,Floor7Sum
7/11/18 2:00,6.724333333,7.605666667,0.641833333,1.103872001,0.866518519,0.795333333,0.424833333
7/11/18 3:00,6.735471751,7.627333333,0.568666667,1.017225989,0.886252874,0.708598383,0.426333333
7/11/18 4:00,7.861751412,7.320333333,0.575166667,1.194085587,0.79262069,1.765568966,0.453333333
7/11/18 5:00,8.8585,6.959166667,0.585666667,4.42953202,1.494090395,2.485533898,2.206333333
7/11/18 6:00,6.640666667,8.304333333,9.528333333,6.951219298,9.266666667,9.796333333,10.138
7/11/18 7:00,5.433279661,39.628,40.037,32.94464035,36.07186723,46.9284386,42.48533333
7/11/18 8:00,5.293666667,94.3255,94.63183333,85.4745533,88.39454598,76.06066676,114.7995
7/11/18 9:00,4.256333333,82.87890351,81.34283333,78.22857362,76.75666667,70.9216954,99.61683333
7/11/18 10:00,4.114056497,84.93282184,78.15916667,78.39064689,80.9415113,70.86020115,111.8378333
7/11/18 11:00,4.000514124,84.34916667,51.93816667,65.1725565,61.54466667,53.21342411,68.1545
7/11/18 12:00,4.130720339,84.414,21.81583333,17.70609936,18.58633333,27.46016092,17.23833333
7/11/18 13:00,4.651370056,83.32466667,96.48583333,89.31683333,91.462,87.79710685,112.0705
7/11/18 14:00,4.644666667,83.50186216,78.83016667,79.71617514,79.60283333,67.66242879,104.8086667
7/11/18 15:00,4.745833333,81.26071053,78.41116667,77.96262147,72.32616667,69.8485,102.7295
7/11/18 16:00,5.141166667,80.00731609,46.99966667,50.12166667,45.35078814,41.2795339,86.49033333
7/11/18 17:00,6.563333333,64.83283333,18.056,13.03033333,17.75533333,19.97166384,34.00666667
7/11/18 18:00,9.149042373,63.89746491,15.6245,10.28894633,14.3285,12.88683333,71.5495
7/11/18 19:00,11.16366667,58.90566667,5.336166667,8.825533898,10.68978161,6.883502825,70.5605
7/11/18 20:00,11.35066667,7.3115,0.856333333,7.166,4.464,3.8675,52.9745
7/11/18 21:00,10.20133333,5.0165,0.689833333,2.453424185,0.839765537,3.694805085,12.945
7/11/18 22:00,9.172579096,4.1225,0.605166667,1.134845217,0.821149425,0.708737288,0.436166667
7/11/18 23:00,8.233666667,4.176,0.641833333,1.134666667,0.776735632,0.685042373,0.391166667
7/12/18 0:00,7.925166667,6.667833333,0.553666667,1.148485876,0.9145,0.787028736,0.443666667
7/12/18 1:00,7.944477401,6.152333333,0.5915,1.134872881,0.896666667,0.7735,0.371666667
7/12/18 2:00,7.869833333,6.301166667,0.632,1.136050847,0.886528736,0.731545977,0.3955
7/12/18 3:00,7.781740113,5.907333333,0.601666667,1.082672316,0.823815789,0.678666667,0.451333333
7/12/18 4:00,8.986666667,5.549,0.550166667,1.288166667,0.758539548,1.777019774,0.481833333
7/12/18 5:00,8.670666667,5.714333333,0.589666667,3.456143873,1.208212644,2.945534483,2.115
7/12/18 6:00,5.218,7.741333333,8.919,6.915333333,7.371573446,10.82916667,10.9945
7/12/18 7:00,5,39.1615,39.94883333,32.40783333,30.6325977,44.64877206,41.11733333
7/12/18 8:00,5.142333333,92.25083333,92.0705,82.38933333,78.83583333,68.17166667,117.1351667
7/12/18 9:00,5.323333333,83.97083333,81.38583333,78.93762712,74.01783333,68.14535016,95.8995
7/12/18 10:00,5.393257062,85.25583333,78.88783333,76.97832486,73.52283333,67.54416667,95.981
7/12/18 11:00,5.101833333,86.71966667,48.52883333,61.56325989,61.667,52.45887931,62.9355
7/12/18 12:00,4.532333333,86.0515,20.46666667,17.88283333,16.75776554,26.14712994,16.9055
7/12/18 13:00,5.087847458,81.55883333,97.87833333,89.52748714,88.25266667,84.10183333,120.2788333
7/12/18 14:00,6.009833333,86.25983333,79.65883333,80.02314407,79.72578571,68.87248276,100.9305
