month,day,hh,load,Temp
1,15,11,70.6875,85
1,15,12,64.62499998,86
1,15,13,63.49999998,88
1,15,14,62.74999998,89
1,15,15,72.9375,90
1,15,16,63.75,91
1,15,17,55,91
1,15,18,44.125,91
1,15,19,26.375,88
1,15,20,16.125,86
1,15,21,8.749999998,84
1,15,22,7.249999998,83
1,15,23,6.375,83
1,16,0,7.5,83
1,16,1,7.000000002,83
1,16,2,6.124999998,83
1,16,3,6.062500002,83
1,16,4,6.437500002,83
1,16,5,7.000000002,83
1,16,6,6.437500002,82
1,16,7,5.4375,82
1,16,8,4.090909091,82
1,16,9,0,82
1,16,10,0,82
1,16,11,0,85
1,16,12,0,85
1,16,13,0,86
1,16,14,0,88
1,16,15,0,89
1,16,16,0,90
1,16,17,0,88
1,16,18,0,88
1,16,19,0,87
1,16,20,0,85
1,16,21,0,85
1,16,22,0,84
1,16,23,0,84
1,17,0,0,84
1,17,1,0,84
1,17,2,0,84
1,17,3,0,83
1,17,4,0,83
1,17,5,0,83
1,17,6,0,83
1,17,7,0,83
1,17,8,0,82
1,17,9,0,82
1,17,10,0,83
1,17,11,14.58333334,85
1,17,12,13.9375,88
1,17,13,6.437500002,89
1,17,14,3.5625,91
1,17,15,6.499999998,90
1,17,16,9.625000002,92
1,17,17,12.0625,92
1,17,18,11.5625,92
1,17,19,10.75,89
1,17,20,9.312499998,86
1,17,21,8.562499998,85
1,17,22,9.625000002,85
1,17,23,10.625,85
1,18,0,8.500000002,84
1,18,1,8.625,83
1,18,2,8.374999998,83
1,18,3,8.125000002,83
1,18,4,8.4375,83
1,18,5,9.437500002,83
1,18,6,6.625000002,83
1,18,7,19.625,82
1,18,8,35.5625,82
1,18,9,47.9375,82
1,18,10,57.375,83
1,18,11,60.75,84
1,18,12,69.62500002,86
1,18,13,79.3125,90
1,18,14,86.31250002,90
1,18,15,85.3125,91
1,18,16,79.6875,92
1,18,17,70.5,94
1,18,18,51.3125,93
1,18,19,19.4375,93
1,18,20,12.9375,87
1,18,21,11.1875,85
1,18,22,8.562499998,85
1,18,23,10.9375,85
1,19,0,9.874999998,84
1,19,1,9.375,84
1,19,2,9.5625,84
1,19,3,9,83
1,19,4,7.875,83
1,19,5,9.124999998,83
1,19,6,9.812500002,82
1,19,7,24.125,82
1,19,8,34.875,82
1,19,9,47.8125,83
1,19,10,55.4375,83
1,19,11,47.75,84
1,19,12,46.875,86
1,19,13,53.9375,89
1,19,14,63.81250002,88
1,19,15,61.37500002,88
1,19,16,59.3125,89
1,19,17,48.3125,89
1,19,18,29.25,89
1,19,19,21.875,88
1,19,20,16.125,86
1,19,21,9.874999998,85
1,19,22,9.375,85
1,19,23,10.3125,85
1,20,0,8.0625,84
1,20,1,7.5,84
1,20,2,7.5,84
1,20,3,6.124999998,83
1,20,4,7.562500002,82
1,20,5,6.250000002,82
1,20,6,5.8125,75
1,20,7,16.8125,76
1,20,8,22.9375,76
1,20,9,29.6875,78
1,20,10,42.3125,80
1,20,11,47.1875,83
1,20,12,40.0625,85
1,20,13,40.625,86
1,20,14,51.3125,88
1,20,15,50.5625,89
1,20,16,52.875,91
1,20,17,47.25,90
1,20,18,29.375,90
1,20,19,13.6875,88
1,20,20,12.0625,86
1,20,21,8.749999998,85
1,20,22,9.874999998,84
1,20,23,7.750000002,84
1,21,0,7.5,84
1,21,1,7.624999998,83
1,21,2,7.249999998,83
1,21,3,8.187499998,83
1,21,4,7.6875,82
1,21,5,5.5,83
1,21,6,5.375,83
1,21,7,9.375,81
1,21,8,27.125,78
1,21,9,46,78
1,21,10,55,80
1,21,11,58.75,82
1,21,12,51.25,84
1,21,13,52.75,87
1,21,14,59.75,88
1,21,15,49.625,89
1,21,16,48.625,90
1,21,17,48.8125,91
1,21,18,34,91
1,21,19,25.4375,90
1,21,20,13,88
1,21,21,10,85
1,21,22,13.75,84
1,21,23,11,84
1,22,0,10.375,84
1,22,1,8.25,83
1,22,2,7.750000002,83
1,22,3,9.375,83
1,22,4,6.5625,83
1,22,5,5.9375,82
1,22,6,5.9375,82
1,22,7,24.8125,82
1,22,8,37.0625,81
1,22,9,65.8125,82
1,22,10,67.5,83
1,22,11,71.56249998,86
1,22,12,65.74999998,88
1,22,13,69.12499998,89
1,22,14,78.1875,90
1,22,15,72.75,93
1,22,16,60.375,92
1,22,17,42.9375,90
1,22,18,34.9375,91
1,22,19,18.3125,90
1,22,20,8.8125,88
1,22,21,6.250000002,86
1,22,22,8.374999998,86
1,22,23,8.125000002,85
1,23,0,8.25,84
1,23,1,8.125000002,83
1,23,2,7.750000002,83
1,23,3,7.187500002,82
1,23,4,8.687500002,82
1,23,5,6.499999998,82
1,23,6,6.499999998,82
1,23,7,4.75,81
1,23,8,6.375,81
1,23,9,4.75,81
1,23,10,3.75,83
1,23,11,3,83
1,23,12,1.75,87
1,23,13,0,89
1,23,14,1.125,90
1,23,15,1.1875,90
1,23,16,5.625,91
1,23,17,10.375,91
1,23,18,10.25,91
1,23,19,12.1875,89
1,23,20,7.937500002,86
1,23,21,6.874999998,85
1,23,22,7.812499998,84
1,23,23,8.4375,84
1,24,0,9.75,84
1,24,1,9.124999998,84
1,24,2,7.999999998,84
1,24,3,7.999999998,83
1,24,4,7.999999998,83
1,24,5,7.5,83
1,24,6,7.624999998,83
1,24,7,5.125,82
1,24,8,4.125,83
1,24,9,4.1875,78
1,24,10,4.6875,78
1,24,11,7.6875,79
1,24,12,5.3125,79
1,24,13,3.1875,77
1,24,14,4.125,74
1,24,15,1.8125,71
1,24,16,10.375,72
1,24,17,9.75,75
1,24,18,8.374999998,76
1,24,19,8.875000002,76
1,24,20,7.249999998,74
1,24,21,7.750000002,73
1,24,22,4.875,72
1,24,23,4.9375,70
1,25,0,5.0625,67
1,25,1,4.75,66
1,25,2,5.75,66
1,25,3,5.125,65
1,25,4,4.125,64
1,25,5,3.75,64
1,25,6,4.1875,63
1,25,7,9.687499998,63
1,25,8,12.75,63
1,25,9,22.3125,63
1,25,10,31.0625,63
1,25,11,37.625,62
1,25,12,36.125,62
1,25,13,29.5,63
1,25,14,37.625,63
1,25,15,39.9375,64
1,25,16,44.9375,66
1,25,17,35.125,67
1,25,18,26.4375,68
1,25,19,24.5625,66
1,25,20,22.75,65
1,25,21,14.25,64
1,25,22,5.1875,63
1,25,23,4.3125,63
1,26,0,5.125,62
1,26,1,5.125,63
1,26,2,4.875,63
1,26,3,4.875,63
1,26,4,4.5625,61
1,26,5,4.5,61
1,26,6,4.9375,61
1,26,7,10.75,61
1,26,8,12.5,61
1,26,9,16.5625,61
1,26,10,17.8125,62
1,26,11,20.25,63
1,26,12,8.25,66
1,26,13,8.25,68
1,26,14,19.25,71
1,26,15,19,73
1,26,16,24.5625,74
1,26,17,24.1875,73
1,26,18,12.75,74
1,26,19,8.125000002,72
1,26,20,5.8125,71
1,26,21,6.687499998,70
1,26,22,4.25,69
1,26,23,4.75,67
1,27,0,4.5,64
1,27,1,6.437500002,63
1,27,2,4.4375,62
1,27,3,4.5,61
1,27,4,4.875,61
1,27,5,4.625,61
1,27,6,6.124999998,61
1,27,7,6.124999998,61
1,27,8,8.625,61
1,27,9,4.375,61
1,27,10,7.249999998,62
1,27,11,5.0625,63
1,27,12,7.937500002,67
1,27,13,6.124999998,69
1,27,14,10.75,73
1,27,15,12.75,76
1,27,16,18.0625,78
1,27,17,20.875,78
1,27,18,19.9375,79
1,27,19,12.75,0
1,27,20,13.1875,0
1,27,21,8.187499998,76
1,27,22,7.5,75
1,27,23,6,0
1,28,0,5.375,74
1,28,1,8.0625,71
1,28,2,6.250000002,70
1,28,3,5.8125,69
1,28,4,7.750000002,68
1,28,5,5,67
1,28,6,5.5,66
1,28,7,9.9375,65
1,28,8,14.8125,66
1,28,9,20.3125,66
1,28,10,33.4375,67
1,28,11,29.375,70
1,28,12,21.25,71
1,28,13,37.5,76
1,28,14,35.125,79
1,28,15,24.125,83
1,28,16,31.625,85
1,28,17,28.75,87
1,28,18,24.125,87
1,28,19,12.5,88
1,28,20,10.875,85
1,28,21,6.874999998,83
1,28,22,5.625,82
1,28,23,7.5,81
1,29,0,5.375,80
1,29,1,5.125,79
1,29,2,7.062499998,78
1,29,3,5,77
1,29,4,5.75,76
1,29,5,6.5625,75
1,29,6,6.75,75
1,29,7,14.125,74
1,29,8,13.75,74
1,29,9,26.1875,75
1,29,10,41.64473684,76
1,29,11,42,80
1,29,12,38.4375,86
1,29,13,36.4375,87
